Question Number,Question Text,Selected Answer,Correct Answer,Correct/Incorrect,Feedback
153,"As an Agile Practitioner how could you ensure stakeholder vision and objectives are shared by the team?","Arrange for a meeting where stakeholders share their vision and objectives with the development team.","Ensure that stakeholders interact with developers on a regular basis.",Incorrect,"Regular interaction between customer and development team – for requirement elicitation, customer tests and product demos – is of utmost importance to ensure team understands and shares stakeholder vision and objectives."
154,"While most developers design and code their stories, you have an experienced architect in the team who is primarily responsible for code review of other team members to ensure consistency and quality in design. But the practice of doing code review (and possible rework) after development is complete on a story is creating friction among team members, often resulting in low morale. As an Agile Practitioner, how you may address this issue:","Discuss with team the possibility of adopting new technical practices to ensure early design and code review, thereby reducing waste on rework.","Discuss with team the possibility of adopting new technical practices to ensure early design and code review, thereby reducing waste on rework.",Correct,"Agile methods lay great emphasis on continuous improvement, and if something is not working, team must try to find better way of doing things. And, by default, most such decisions must be taken with team consensus."
155,"The customer tells you in the middle of the release that one feature that is already in progress is no longer required. This feature is an epic and significant effort has already gone into the development. What should the team do next?","Stop development on this feature right away and read just the release milestones.","Stop development on this feature right away and read just the release milestones.",Correct,"Responding to change is one of the key characteristics of Agile project management. If the customer does not want something anymore, it must not be built. The team should now work with customer to understand the changed business priorities and read just release milestones."
156,"An established team of 8 members is known for higher performance and low defect rates. They usually pick 20-25 stories for execution during their 30-day sprint. As an Agile Practitioner, what do you think the team could try to step up their agility?","Reduce sprint duration to limit increment size and increase review frequency.","Reduce sprint duration to limit increment size and increase review frequency.",Correct,"Since there is significant number of stories in each Sprint, the team could try 2- or 3-week sprints with less number of stories. It will improve review frequency with the customer, in turn reducing the amount of rework."
157,"The velocity of a team went down because Product Owner did not provide requirement clarification to the team. What should the Scrum Master do?","Take the responsibility of getting requirement clarifications from the Product Owner next sprint onwards","Tell the team it is their responsibility to obtain requirement clarification from the Product Owner",Incorrect,"Scrum Master's role is to facilitate a team be self-organized in their work. In that direction, he should encourage team to get requirement details from PO on its own."
158,"When should you freeze acceptance criteria for a user story?","Never – the acceptance criteria for a user story must stay open for discussion and negotiation even during Sprint.","Never – the acceptance criteria for a user story must stay open for discussion and negotiation even during Sprint.",Correct,"Refer Agile principle – ""Welcome changing requirements, even late in development. Agile processes harness change for the customer's competitive advantage."" In adaptive life cycle requirements are emerged instead of baselined."
159,"Does estimation differ for product backlog (PB) items and the sprint backlog (SB) items?","PB items are estimated in days and SB items are estimated in ideal hours","PB items are estimated in story points and SB items are estimated in ideal hours",Incorrect,"Story points are a unit of measure for expressing the overall size of a user story, feature, or other piece of work. When we estimate with story points, we assign a point value to each item. When we estimate the number of ideal days that a user story will take to develop, test, and accept."
160,"What would be your most important recommendation to the management who are procuring new office space and there is a plan to transition from traditional project management to agile?","Co-locate employees working on the same project","Co-locate employees working on the same project",Correct,"For agile projects, co-location of team members is the most important consideration, wherever possible."
161,"Which of the following statements is true? (Select two.)","A team that uses an Agile approach is more likely to produce greater business value.","The goal of project management is to produce business value in the best way possible. An organization should choose the delivery method that best produces business value.",Incorrect,"According to the Agile Practice Guide, the goal of project management is to produce business value. The method that a team uses to deliver value should be based on which would yield the most successful outcome. This is often driven by the nature of the project and the circumstances surrounding the project."
162,"An agile project is running its fifth iteration out of ten. After the last iteration review, the team members receive feedback from the security department about regulation with which the project must comply. Which two actions should the project manager take? (choose two)","Ask the team members to analyze the impact of including this regulation","Ask the product owner to include the requirement in the product backlog. Ask the security department for details about regulations",Incorrect,"As mentioned in the question ( The project MUST comply with these regulations.) 1- Ask the product owner to include the requirements in the product backlog. 2- . Ask the security department for details about regulations."
163,"How will the selection of a predictive project life cycle shape the way the project is carried out? (Choose three)","A single final product will be delivered at the end of the project. The requirements will be determined upfront before the project execution begins. Changes will be constrained to the extent possible","A single final product will be delivered at the end of the project. The requirements will be determined upfront before the project execution begins. Changes will be constrained to the extent possible",Correct,"With a traditional waterfall project, the project requirements and scope are typically determined during initial project planning. Once the project management plan is approved, changes are constrained through a robust change management process. The product or result of the project is then typically delivered in its final form at the end of the project. The incorrect answer choices are indicative of agile project management methodologies."
164,"A recent internal survey indicated that most employees are apprehensive about transition from waterfall to Scrum, suggesting the organization may not be ready for Agile adoption just yet. As an Agile Practitioner responsible for managing one team, what is your best option?","Start introducing some of the Agile practices within your team while still using traditional project management at the higher level.","Start introducing some of the Agile practices within your team while still using traditional project management at the higher level.",Correct,"Scrum is a big bang approach and may sometimes receive resistance from team members. A team can still adopt agility and benefit from it by taking a piecemeal approach."
165,"Which of the following is addressed within the resource management plan? (Select three.)","Recognition and rewards. Compliance. Safety","Recognition and rewards. Compliance. Safety",Correct,"The resource management plan describes when and how resource requirements will be met. It addresses things such as staff acquisition, timetable of when the team will be acquired, release criteria, training needs, recognition and rewards, compliance, and safety. It doesn't, however, define the roles and responsibilities, which is a separate output of the human resource management planning process."
166,"Which of the following reflect principles listed in the Agile Manifesto? (Select three.)","The best architectures, requirements, and designs emerge from teams that are directed by strong leaders.","Working software is the primary measure of progress. Our highest priority is to satisfy the customer through early and continuous delivery of valuable software. Simplicity—the art of maximizing the amount of work not done—is essential.",Incorrect,"Working software is the primary measure of progress. Our highest priority is to satisfy the customer through early and continuous delivery of valuable software. Simplicity—the art of maximizing the amount of work not done—is essential."
167,"When does a Scrum team create and elaborate user stories in detail?","User stories may be created early but must be elaborated close to execution in a Sprint.","User stories may be created early but must be elaborated close to execution in a Sprint.",Correct,"Just like other Agile methods, Scrum uses the idea of progressive elaboration where requirement details are listed out just in time – close to execution."
168,"Sue is the leader of an enterprise PMO. Recently, she rolled out a quarterly project auditing process. Each quarter, 10 percent of the project portfolio would be randomly audited. What is the leading motivator and benefit of project audits? (Select two.)","Identifying key legal and/or contractual requirements","Determining potential threats to compliance. Monitoring compliance against published standards and policies",Incorrect,"PMOs may facilitate project audits as a means of monitoring compliance against published standards, policies, and procedures published by the PMO and/or the company. A key benefit of project audits is that they serve as a tool for identifying potential threats to compliance, such as legal or contractual requirements."
169,"Which of the following best describe characteristics of a product backlog? (Select three.)","It is prioritized by a business representative. Work is pulled from the top of the backlog. It contains a list of prioritized work.","It is prioritized by a business representative. Work is pulled from the top of the backlog. It contains a list of prioritized work.",Correct,"A backlog contains a prioritized list of all work encapsulated in a project. It is used to track, review, and regulate work. The team generally pulls work from the top of the backlog, and the backlog is continuously refined over the course of the project. The product owner is responsible for maintaining the backlog and is a representative of the business."
170,"A scrum team has completed its first iteration for an important project. A burndown chart indicates that the project is behind schedule. Which two actions should the project manager take to manage impediments and improve the team's velocity?","Look for processes that cause bottlenecks and slow down the team's agility. Work with the team to remove impediments as quickly as possible.","Look for processes that cause bottlenecks and slow down the team's agility. Work with the team to remove impediments as quickly as possible.",Correct,"1- Work with the team to remove impediments as quickly as possible. 2- Look for processes that cause bottlenecks and slow down the team's agility."
171,"You are a project manager working as a consultant for a company that is in startup mode. One of your responsibilities for this week is to create an organizational chart. What format can you use to display an organizational chart? (Select three.)","Hierarchical type. Matrix-based. Text-oriented","Hierarchical type. Matrix-based. Text-oriented",Correct,"A run chart is a type of quality tool and therefore not a format you would use to display an organizational chart."
172,"It is day 7 of a 10-day (2-week) sprint and as developers are finishing development tasks, the testing tasks are piling up. There is a risk all stories may not get done within Sprint timelines. As a Scrum Master of a high-performing crossfunctional team, how you may best address this issue:","Urge developers to pick up testing tasks to share the testing load, wherever possible.","Urge developers to pick up testing tasks to share the testing load, wherever possible.",Correct,"Finishing the story in a Scrum team is everyone's responsibility, even if it means developers pick up testing tasks or the other way around. There are no clearly defined roles within Development Team precisely for the same reason. Every member must be committed to meet team's Sprint goal whatever it takes."
173,"The benefits of maintaining and making visible a prioritized list of threats and issues facing the team include the following EXCEPT:","Elevate accountability","Find root cause of the problem",Incorrect,"The primary purpose creating an impediments list and making it visible is to expedite effective resolution, not to find the root cause of the problem."
174,"Which of the following approaches to agility lays great emphasis on eliminating waste:","Lean","Lean",Correct,"'Eliminate Waste' is one of the seven key principles of Lean."
175,"Why does an Agile team need to elicit and prioritize important non-functional requirements (such as security and performance) early on?","To minimize the probability of failure","To minimize the probability of failure",Correct,"If not dealt in a timely manner, issues like security and performance may require big design changes later, often failing the project. Please note that we are only talking about understanding and prioritizing non-functional requirements here – this does not mean that we need to work on all non-functional requirements at the beginning of the project."
176,"Which of the following practice will best support the transfer of knowledge to benefit future project? (Choose three) multiple-choice","Ensure that the lessons learned register is listed as a configuration element in the configuration management plan","Conduct regular retrospective meeting with the project team and relevant stakeholders. Document knowledge gained in the lessons learned register throughout the project. Ensure that the lessons learned register is finalized and transferred to the lessons learned repository",Incorrect,"Answering this question correctly requires an understanding of how knowledge gained throughout the project should be tracked and recorded. The lessons learned register should be revised throughout the course of the project, anytime information that might be helpful later in the current project or applicable to future projects is gained. Additionally, periodic lesson learned meetings (retrospectives) might be held specifically to aid in the recognition and documenting of knowledge gained. During project closure, the lessons learned register is finalized and transferred to an organizational process set (OPA) referred to as the lessons learned repository. The lessons learned repository can then serve as an input for future projects to improve performance."
177,"A junior developer took 12 hours to complete a relatively complex task that was estimated by the team as a 4-hour task. How should an agile team handle such a case?","Assign a mentor for this developer for next few sprints.","Let team members estimate their own tasks.",Incorrect,"Task assignment and estimation should be pull-based – members must self-volunteer for tasks and give their own estimates. In this case the issue is taking more time than estimate; it is not about lacking the ability to complete the task."
178,"Average velocity of a team over past several sprints has been 30 story points. In the current Sprint, two stories got stuck due to external dependencies and ended up bringing down team velocity to 20 story points. How many story points should the team pick for execution in the upcoming sprint?","Go with whatever number the team feels comfortable with","Go with whatever number the team feels comfortable with",Correct,"The historical velocity is only a 'guideline' for future sprint planning. In the end, the development team decides exactly how many points should be picked up for the next Sprint, based on their confidence level."
179,"In an effort to facilitate close communication with external stakeholders, management has decided to co-locate a subject matter expert from customer side with the team. The team however is resistant to the idea - they fear it will create unnecessary work pressure and may expose the team's internal issues and weaknesses to the customer. As an Agile Practitioner, what would you consider your best first move?","Side with the team and vote against the idea.","Call a team meeting where you explain the value of customer collaboration for building good quality products and discuss the validity of their fears.",Incorrect,"While Agile teams see a clear value in customer co-location, if a team is resistant to the idea, the first step should be to discuss the validity of their apprehensions."
180,"Why do Agile methods recommend frequent reviews of work products via code reviews, testing and product reviews?","It helps incorporate improvements into the overall process and product.","It helps incorporate improvements into the overall process and product.",Correct,"Frequent reviews help create a culture of inspect and adapt – two of the three the key elements of empirical process control."
